,created_at,full_text,party,screen_name
101,Wed Oct 10 04:07:48 +0000 2018,"Joined Dr. Gary L. Jones, CEO of Youth For Tomorrow, and friends of YFT, for the opening of their new outpatient Loudoun Office where they will focus on mental health assessments and evaluation, individual therapy, family therapy, marriage and couples therapy, play therapy, and.. https://t.co/KknJ29d7nu",republicans,RepComstock
102,Tue Oct 09 21:56:50 +0000 2018,a better world for future generations.  Mikaeel's Eagle Scout project was the creation of a 400 foot walking rail at Loudoun Freedom Center's African American Burial Ground for the Enslaved at Belmont. #VA10 https://t.co/mTlOsupm04,republicans,RepComstock
103,Tue Oct 09 21:56:50 +0000 2018,"Congratulations to Mikaeel Martinez Jaka of the ADAMS Center Boy Scout Troop and son of Rizwan Jaka, for receiving the 2018 Prestigious Messengers of Peace Heroes Award.  This award honors Scouts who make great efforts to better their communities and and make...",republicans,RepComstock
104,Tue Oct 09 19:36:37 +0000 2018,"RT @HouseGOP: #TaxReform 2.0 will:
✓ Create jobs
✓ Encourage innovation
✓ Provide financial security
→ Check out more on how our policies w…",republicans,RepComstock
105,Tue Oct 09 19:35:36 +0000 2018,"RT @SpeakerRyan: Undoing years of military cuts was a top priority. We:
→ Gave our troops their biggest pay raise in 9 years
→ Fully funded…",republicans,RepComstock
106,Tue Oct 09 01:07:29 +0000 2018,"October is National Work and Family Month.  I have introduced the Federal Employees Paid Parental Leave Act, legislation that would provide 12 weeks of paid parental leave to federal workers in the case of the adoption, birth, or foster placement of a child.  #VA10 https://t.co/samrz6weS1",republicans,RepComstock
107,Sat Oct 06 17:38:18 +0000 2018,We are contacting the Department of Justice and legal officials to make sure this vile action is thoroughly investigated and the criminals brought to justice. https://t.co/6bYnVsOjoo #VA10,republicans,RepComstock
108,Sat Oct 06 17:38:18 +0000 2018,"This is an outrage, it is criminal, and it is exactly why we passed my bipartisan anti-hate crimes resolution in Congress to track, prevent and prosecute hate crimes.",republicans,RepComstock
109,Fri Oct 05 17:57:07 +0000 2018,There are over 500K job openings in America’s manufacturing industry. Manufacturers are opening their doors this #MFGDay18 to inspire students to pursue opportunities in Virginia’s manufacturing. Manufacturing makes America strong! https://t.co/4LFw2qjTuh #VA10 https://t.co/JNlWNI7oKY,republicans,RepComstock
110,Fri Oct 05 13:17:03 +0000 2018,"Washington Post: Unemployment rate falls to 3.7 percent, lowest since 1969 #VA10 

https://t.co/cM8ppSMlhg",republicans,RepComstock
111,Thu Oct 04 19:29:03 +0000 2018,"Comstock Statement On Federal Employee Pay Raise #VA10
https://t.co/S52Ulh8R8g https://t.co/PQhGIvdv0A",republicans,RepComstock
112,Thu Oct 04 17:30:26 +0000 2018,"“I’ve been making the case for the rank-and-file side,” Comstock said. “I’m confident we will get it. We need to retain talent in the federal government.” https://t.co/VkOW4hVMMS #VA10",republicans,RepComstock
113,Thu Oct 04 15:45:24 +0000 2018,"RT @HouseCommerce: BREAKING: The Senate has officially passed HR 6, the SUPPORT for Patients and Communities Act! This historic legislation…",republicans,RepComstock
114,Thu Oct 04 15:44:15 +0000 2018,RT @SpeakerRyan: Every community has been affected by the #OpioidEpidemic. Helping those suffering at the hands of addiction has been a pri…,republicans,RepComstock
115,Thu Oct 04 15:43:31 +0000 2018,"RT @HouseGOP: Can you believe it? → “Congress reaches agreement on prescription for fighting the nation's opioid epidemic.” #opioidcrisis
h…",republicans,RepComstock
116,Thu Oct 04 15:31:33 +0000 2018,"CNBC: ""The number of Americans filing for unemployment benefits fell to a near 49-year low last week, pointing to sustained labor market strength, which should continue to underpin economic growth.""  #VA10
https://t.co/CH12ZxpQEd",republicans,RepComstock
117,Thu Oct 04 04:26:18 +0000 2018,"Opioid Legislation Passes Senate With Comstock Provisions #VA10
https://t.co/rXt1WX4pzY https://t.co/mgwscYoyKw",republicans,RepComstock
118,Wed Oct 03 13:17:25 +0000 2018,Update on Rockwool. #VA10 https://t.co/JKIOglUtFO,republicans,RepComstock
