,created_at,full_text,party,screen_name
84,Mon Nov 19 19:55:11 +0000 2018,Need health insurance? Now's the time to get your family an affordable plan. Visit https://t.co/dE8s2xSBvv to get started. #GetCovered by Dec. 15!  https://t.co/EpMqtKsJI8,democrats,RepDarrenSoto
85,Fri Nov 16 16:37:24 +0000 2018,RT @rvivian370: At the onePulse Foundation Townhall Forum in Orlando. @RepDarrenSoto @EvelynPR @lachicamayra @sasencios @hrc_orlando @onePU…,democrats,RepDarrenSoto
86,Thu Nov 15 15:19:55 +0000 2018,"Thank you @NancyPelosi for meeting with Problem Solvers Caucus about our rules reforms to ensure an open, productive and accountable Congress! https://t.co/PPNuuN2zrd",democrats,RepDarrenSoto
87,Wed Nov 14 04:03:44 +0000 2018,Happy to help make sure every kid has a chance at success with @ELCOC ! ! ! https://t.co/pf0CviOdjz,democrats,RepDarrenSoto
88,Mon Nov 12 14:10:28 +0000 2018,Happy #VeteransDay2018 and thank you to all our veterans for your service! Proud to attend Haines City ceremony. We are the Land of the Free because of the Brave! https://t.co/ceJtny9U0e,democrats,RepDarrenSoto
89,Sun Nov 11 20:45:14 +0000 2018,Happy Diwali 2018 to our Indian American Community throughout the district! Thanks to Gujarati Society for hosting me last night. https://t.co/POsoxfohNt,democrats,RepDarrenSoto
90,Sat Nov 10 23:51:15 +0000 2018,RT @NILC_org: BREAKING: The U.S. Court of Appeals for the 9th Circuit today upheld a lower court’s ruling to block @realDonaldTrump’s termi…,democrats,RepDarrenSoto
91,Thu Nov 08 18:56:36 +0000 2018,Our hearts mourn for the 12 Americans murdered at Thousand Oaks. We will do everything we can to stop senseless gun violence in America. https://t.co/ma9S6E9u2j,democrats,RepDarrenSoto
92,Tue Nov 06 17:26:35 +0000 2018,We @HouseDemocrats and @SenateDems support 1) raising wages 2) expanding healthcare and lowering costs 3) funding public education 4) protecting our environment &amp; 5) protecting Social Security and Medicare - among many other issues affecting American Families! https://t.co/nDGqAqcYlV,democrats,RepDarrenSoto
93,Tue Nov 06 14:55:54 +0000 2018,"Quiero aprovechar este momento para expresar mi tristeza por la muerte ayer del presidente del Partido Popular @hferrerrios Como ha expresado el gobernador @ricardorossello , Héctor era un líder de consenso que echaremos se menos. https://t.co/41EAKCzqK1",democrats,RepDarrenSoto
94,Mon Nov 05 23:00:39 +0000 2018,"RT @garywhite13: @RepDarrenSoto weighs in on Kansas controversy, blasts Kris Kobach after federal court decision ruling against adding seco…",democrats,RepDarrenSoto
